field_1,lat,lng,time,population,popxtime
190,30.316600000000037,-97.778810000000149,812.000000000000000,608.484191894531250,494089.163818359375000
191,30.316600000000037,-97.708810000000213,499.000000000000000,750.657592773437500,374578.138793945312500
193,30.311600000000038,-97.778810000000149,845.000000000000000,690.020629882812500,583067.432250976562500
194,30.311600000000038,-97.758810000000153,620.000000000000000,568.676818847656250,352579.627685546875000
195,30.311600000000038,-97.708810000000213,522.000000000000000,1686.683959960937500,880449.027099609375000
197,30.306600000000039,-97.668810000000235,487.000000000000000,1054.109008789062273,513351.087280273321085
201,30.301600000000054,-97.793810000000136,617.000000000000000,452.720794677734375,279328.730316162109375
202,30.301600000000054,-97.783810000000130,724.000000000000000,730.490112304687500,528874.841308593750000
203,30.301600000000054,-97.663810000000225,627.000000000000000,989.064270019531250,620143.297302246093750
209,30.296600000000051,-97.788810000000140,506.000000000000000,343.386688232421875,173753.664245605468750
213,30.291600000000052,-97.828810000000075,707.000000000000000,267.482604980468750,189110.201721191406250
214,30.291600000000052,-97.793810000000136,530.000000000000000,269.073791503906250,142609.109497070312500
215,30.286600000000053,-97.828810000000075,674.000000000000000,348.787414550781250,235082.717407226562500
216,30.286600000000053,-97.718810000000204,482.000000000000000,2190.115966796875000,1055635.895996093750000
217,30.286600000000053,-97.688810000000231,495.000000000000000,909.105224609375000,450007.086181640625000
218,30.281600000000051,-97.823810000000137,664.000000000000000,423.266693115234375,281049.084228515625000
219,30.281600000000051,-97.733810000000204,518.000000000000000,7536.181152343750000,3903741.836914062500000
220,30.281600000000051,-97.718810000000204,499.000000000000000,1914.427001953125000,955299.073974609375000
221,30.276600000000052,-97.823810000000137,637.000000000000000,423.266693115234375,269620.883514404296875
222,30.276600000000052,-97.708810000000213,512.000000000000000,2043.599975585937273,1046323.187499999883585
226,30.271600000000053,-97.823810000000137,679.000000000000000,420.449188232421818,285484.998809814394917
227,30.271600000000053,-97.818810000000127,539.000000000000000,420.449188232421818,226622.112457275361521
228,30.266600000000054,-97.838810000000095,769.000000000000000,121.130699157714844,93149.507652282714844
232,30.266600000000054,-97.763810000000149,675.000000000000000,917.476196289062386,619296.432495117071085
238,30.261600000000051,-97.843810000000076,587.000000000000000,105.177001953125000,61738.900146484375000
239,30.261600000000051,-97.838810000000095,663.000000000000000,183.863296508789034,121901.365585327133886
242,30.261600000000051,-97.783810000000130,619.000000000000000,1474.142944335937500,912494.482543945312500
243,30.261600000000051,-97.778810000000149,531.000000000000000,1168.717041015625000,620588.748779296875000
244,30.261600000000051,-97.753810000000158,582.000000000000000,735.970092773437500,428334.593994140625000
245,30.261600000000051,-97.663810000000225,518.000000000000000,15.589579582214355,8075.402223587036133
246,30.256600000000052,-97.863810000000072,557.000000000000000,11.990759849548340,6678.853236198425293
247,30.256600000000052,-97.843810000000076,536.000000000000000,676.869628906250000,362802.121093750000000
248,30.256600000000052,-97.838810000000095,601.000000000000000,975.287475585937614,586147.772827148553915
249,30.256600000000052,-97.833810000000099,664.000000000000000,975.287475585937614,647590.883789062616415
250,30.256600000000052,-97.828810000000075,714.000000000000000,1371.572998046875000,979303.120605468750000
252,30.256600000000052,-97.808810000000136,490.000000000000000,252.198394775390625,123577.213439941406250
253,30.256600000000052,-97.783810000000130,591.000000000000000,1455.151977539062500,859994.818725585937500
255,30.256600000000052,-97.668810000000235,543.000000000000000,17.553890228271484,9531.762393951416016
258,30.256600000000052,-97.628810000000286,501.000000000000000,28.039419174194325,14047.749006271356848
259,30.251600000000053,-97.843810000000076,560.000000000000000,676.869628906250000,379046.992187500000000
260,30.251600000000053,-97.838810000000095,550.000000000000000,975.287475585937614,536408.111572265741415
261,30.251600000000053,-97.833810000000099,629.000000000000000,975.287475585937614,613455.822143554803915
262,30.251600000000053,-97.828810000000075,658.000000000000000,1371.572998046875000,902495.032714843750000
263,30.251600000000053,-97.823810000000137,697.000000000000000,302.587585449218750,210903.547058105468750
265,30.251600000000053,-97.793810000000136,714.000000000000000,1652.272949218750000,1179722.885742187500000
